Feature,MI_Score
F2140,0.0021376918934856715
F2147,0.002134985991841587
F2223,0.0021342597295451737
F3561,0.0021333844244872946
F111,0.0021332916843600502
F204,0.0021329296642044193
F3442,0.002127058120647729
F1081,0.002122876721135314
F3841,0.0021218615314583245
F496,0.002121816773132945
F2148,0.00212135604319319
F3346,0.0021193231101385157
F1117,0.0021072561484916097
F3274,0.00210714213348151
F2890,0.002104741662584342
F3422,0.0021034717837278283
F118,0.0021014406292014787
F2639,0.0021003030671817857
F1318,0.0021000939212302283
F2176,0.0020987920683338546
F264,0.002097898689140121
F97,0.002097306525445042
F604,0.002096410340495014
F3393,0.0020963728218347244
F1504,0.002092726470023676
F2141,0.0020923301034089237
F2843,0.0020866484374468808
F1472,0.0020845626417961283
F1737,0.0020843254151092783
F705,0.0020818227517128696
F2829,0.002081591802831406
F3872,0.0020798839249088763
F3675,0.002079344053932952
F1562,0.002077876287364
F3259,0.002076921298171497
F3458,0.0020720296629614943
F2109,0.0020701226137210815
F3639,0.002069752143656123
F421,0.002068582635106564
F1188,0.0020678056370129205
F3837,0.002064462808684664
F1800,0.0020638458129310644
F846,0.002061183867277938
F429,0.0020611079480392647
F3671,0.0020607617774579534
F3286,0.0020596158025147915
F3519,0.0020522079392832904
F1852,0.002051885970848044
F1386,0.002051725791969883
F54,0.002050170863815426
F3583,0.0020495759497182187
F3501,0.002048679719801161
F154,0.00204762661874347
F2961,0.002045514475419008
F2158,0.0020451556167568885
F3240,0.0020442580757544793
F58,0.0020432929385494347
F2964,0.0020430212801000325
F3602,0.002042288818121407
F3875,0.0020383004106241387
F139,0.002037496213639245
F3412,0.0020373740093241333
F3384,0.00203715568123386
F2056,0.0020355782269196876
F1898,0.0020338659396238468
F3555,0.002032732331807341
F3840,0.0020309624559370354
F1974,0.0020303678864944663
F1572,0.002028749021421028
F3139,0.0020257867149610087
F1869,0.0020238810928787654
F567,0.0020217501164615514
F1312,0.00202038660701942
F1957,0.0020191316923221514
F3839,0.002010204184850206
F2123,0.002003243050905823
F2381,0.002002610948594774
F1734,0.0019987248303725558
F1411,0.001994447127423582
F2017,0.0019885806943057416
F1061,0.001987681317489609
F1324,0.00198726637944846
F1087,0.0019845432090259685
F2844,0.001984094954204707
F1203,0.001981575123522372
F1585,0.001981255367775381
F69,0.0019807928123282137
F1594,0.001975545762547992
F1602,0.0019731527830283424
F2832,0.0019694002508739983
F1759,0.00196868769309011
F3377,0.0019674191682775843
F3269,0.0019669520283205344
F3752,0.001966539751182439
F3211,0.0019631363271571667
F3154,0.001962651404289417
F199,0.0019598996969569793
F3916,0.0019592142145159475
F2446,0.0019557955366165114
F853,0.0019548614161742917
F3299,0.0019541882101440367
F442,0.001953185452858275
F3498,0.001951244591382184
F3325,0.0019487249407285079
F3153,0.001945864531624375
F3463,0.0019445283320562723
F3284,0.0019431325768974883
F3329,0.001941672938633121
F1732,0.0019378005014020205
F2855,0.0019361445094635554
F3761,0.0019318706922548667
F156,0.0019305598935427382
F418,0.0019287961646323737
F2650,0.0019273446962028151
F2479,0.0019241802585757695
F1625,0.0019241039715528485
F718,0.0019227889765595085
F2577,0.0019217686282940738
F3004,0.0019216739622229806
F745,0.0019207242422258908
F3283,0.001916715262270774
F3003,0.0019129120446178538
F2086,0.0019088206859220191
F2197,0.001908164801574741
F511,0.0019074963787097943
F255,0.0019061070498180843
F3895,0.0019057946461186193
F3710,0.0019050058191619756
F1277,0.0019030771517524192
F466,0.0018947420971028306
F1621,0.0018929499298036
F1761,0.001891496120577485
F3230,0.001890104232755374
F838,0.0018900521318052643
F1385,0.0018891034123811323
F3492,0.0018882717904596946
F3188,0.001883269281080624
F166,0.0018823048555685062
F3362,0.0018805961773747937
F3302,0.0018791369890993614
F1976,0.0018782265931052144
F1282,0.001877347049782374
F434,0.001877031759473291
F3441,0.0018746011845298671
F1302,0.0018731605807987828
F2640,0.00187190856782804
F1216,0.001870879261578362
F1966,0.0018705784865866715
F3690,0.001870226121066354
F1637,0.0018682073422598977
F964,0.0018677441010694906
F3796,0.001867716192260338
F206,0.00186708610567754
F2225,0.0018670807547256363
F3573,0.0018664440058465681
F3234,0.0018661089125032726
F2125,0.0018658938729544383
F3540,0.001863395443010063
F1936,0.0018615814489548743
F3167,0.0018579663349991282
F98,0.0018555524640869736
F2588,0.00185516988896417
F3190,0.0018549445550343213
F61,0.0018540912002235066
F1378,0.0018517283920884697
F1097,0.0018507180825275693
F3871,0.0018505071644198123
F3808,0.001850134111561319
F513,0.0018489671936854357
F3838,0.0018480525084804134
F3246,0.0018426857170383837
F3444,0.0018423313567692556
F2146,0.0018397399791312274
F3334,0.0018356131580745672
F1678,0.0018354936799964694
F1816,0.0018317644932448474
F138,0.0018286872970449952
F3491,0.0018276167834510026
F1255,0.0018264093440638618
F1208,0.0018253376285004563
F3861,0.001824693274153688
F3159,0.0018242938105936801
F3395,0.0018219657440796677
F3510,0.0018201498387527826
F3282,0.0018192383696087333
F765,0.00181808783684545
F1447,0.0018150037421764686
F2786,0.0018149187703282443
F2781,0.0018149118689576582
F3480,0.0018130302847846336
F1141,0.0018099098908689326
F2780,0.001808854643684743
F222,0.0018039136199328176
F3622,0.0018012087220662387
